"CdRep","Codigo","Capitania","Gobernacion","Region","Telefono","Direccion"
"221","2236","ANCUD","Castro","Región de Los Lagos / Castro","+56 65 2622363","Arturo Prat esq. Lord Cochrane S/N. Ancud."
"430","2711","RIO NEGRO HORNOPIRÉN","Puerto Montt","Región de Los Lagos","+56 65 2217304","Los Colonos S/N Esquina Cordillera. Hornopirén."
"227","2168","QUEMCHI","Castro","Región de Los Lagos / Castro","+56 65 2691334","Diego Bahamondes N°390. Quemchi"
"208","2162","CASTRO","Castro","Región de Los Lagos / Castro","+56 65 2629416","Avda. Pedro Montt 85. Castro"
"217","2238","ACHAO","Castro","Región de Los Lagos / Castro","+56 65 2661260","Calle Progreso S/N, Achao"
"213","2235","CHAITÉN","Castro","Región de Los Lagos / Castro","+56 65 2731267","Juan Todesco N°5. Chaitén."
"225","2239","CHONCHI","Castro","Región de Los Lagos / Castro","+56 65 2671950","Irarrázabal Nº5. Chonchi."
"212","2240","QUELLÓN","Castro","Región de Los Lagos / Castro","+56 65 2681260","Agustín Gómez García Nº 15. Quellón."
"234","2279","MELINKA","Aysén","Región de Aysén","+56 67 2431555","Costanera Oeste S/N. Melinka"
"241","2172","CISNES","Aysén","Región de Aysén","+56 67 2346880","Arturo Prat N°851. Puerto Cisnes"
"239","2206","AGUIRRE","Aysén","Región de Aysén","+56 67 2361233","Almirante Latorre S/N. Puerto Aguirre."
"240","2241","CHACABUCO","Aysén","Región de Aysén","+56 672351450","Bernardo O'Higgins N°45. Puerto Chacabuco"
"235","2243","LAGO GRAL.CARRERA","Aysén","Región de Aysén","+56 67 2411111","Manuel Rodríguez 157. Chile Chico."
"260","3228","BAKER","Aysén","Región de Aysén","Móvil: +569 5617 3241","Costanera, Sector Base S/N. Caleta Tortel."
"258","3229","EDÉN","Punta Arenas","Región de Magallanes / Punta Arenas","+56 61 2201164","Sector Yektarte S/N. Puerto Edén."
"253","3220","PUERTO NATALES","Punta Arenas","Región de Magallanes / Punta Arenas","+56 61 2411570","Pedro Montt Nº311, Puerto Natales."
"252","3223","PUNTA DELGADA","Punta Arenas","Región de Magallanes / Punta Arenas","Móvil: + 56 61 2201189","Primera Angostura S/N. Punta Delgada."
"251","3125","PUNTA ARENAS","Punta Arenas","Región de Magallanes / Punta Arenas","+56 61 2201105","Av. Bernardo O'Higgins 1169, Punta Arenas."
"254","3221","TIERRA DEL FUEGO","Punta Arenas","Región de Magallanes / Punta Arenas","+56 61 2580841","Carlos Serka N.º 1304. Porvenir. Tierra del Fuego."
"275","3230","PUERTO WILLIAMS","Puerto Williams","Región de Magallanes / Puerto Williams","+56 61 2624271","Miramar 96. Puerto Williams."
"290","3815","BAHÍA FILDES","Antártica Chilena","Región de Magallanes y Antártica Chilena","",""
"292","3816","SOBERANÍA","Antártica Chilena","Región de Magallanes y Antártica Chilena","",""
"291","3817","RADA COVADONGA","","","",""
"293","9128","BAHÍA PARAÍSO","Antártica Chilena","Región de Magallanes y Antártica Chilena","",""
