prioridad	nodo_id	nombre	tipo	comuna	provincia	QUIEN_ADJUDICA	POR_QUE	candidata_con_cierres	candidatas	bahia_elegida_ESCRIBIR_AQUI
20	199	Caleta Pesquera Villarrica de Dichato	Caleta	Tomé	Concepción	costa	las 3 candidatas comparten capitanía (Talcahuano): elegir mal no cambia a quién se contacta, sólo qué restricciones llegan	SÍ	97 BAHÍA CONCEPCIÓN - LIRQUÉN @19.22km  ·  98 BAHÍA CONCEPCIÓN - TALCAHUANO @24.63km  ·  99 BAHÍA SAN VICENTE @27.12km	
21	201	Caleta Pesquera Tome	Caleta	Tomé	Concepción	costa	las 3 candidatas comparten capitanía (Talcahuano): elegir mal no cambia a quién se contacta, sólo qué restricciones llegan	SÍ	97 BAHÍA CONCEPCIÓN - LIRQUÉN @10.3km  ·  98 BAHÍA CONCEPCIÓN - TALCAHUANO @16.99km  ·  99 BAHÍA SAN VICENTE @19.45km	
22	287	Caleta Pesquera Puerto Dominguez	Caleta	Saavedra	Cautín	costa	las 3 candidatas comparten capitanía (Carahue): elegir mal no cambia a quién se contacta, sólo qué restricciones llegan	SÍ	141 CARAHUE - SECTOR RÍO @21.21km  ·  143 CARAHUE - BORDE COSTERO @22.32km  ·  142 CARAHUE - SECTOR LAGO @25.57km	
23	672	Caleta Buill	Caleta			costa	las 4 candidatas comparten capitanía (Melinka): elegir mal no cambia a quién se contacta, sólo qué restricciones llegan	SÍ	124 MELINKA @24.95km  ·  175 SECTOR REPOLLA ALTO @25.19km  ·  176 SECTOR REPOLLA BAJO @25.47km  ·  256 CANAL PÉREZ SUR @28.07km	
24	103	Muelle Vergara	Muelle	Viña del Mar	Valparaíso	costa	las 2 candidatas comparten capitanía (Valparaíso): elegir mal no cambia a quién se contacta, sólo qué restricciones llegan	SÍ	92 BAHÍA DE VALPARAÍSO @7.77km  ·  173 BAHÍA CONCÓN @10.86km	
25	354	Muelle Pesquero Luis Guineo de Pudeto	Muelle	Ancud	Chiloé	costa	las 2 candidatas comparten capitanía (Ancud): elegir mal no cambia a quién se contacta, sólo qué restricciones llegan	SÍ	118 BAHÍA ANCUD Y CANAL CHACAO @2.65km  ·  214 BAHÍA ANCUD @2.65km	
26	515	Muelle Base Draga	Muelle	Valdivia	Valdivia	costa	las 2 candidatas comparten capitanía (Valdivia): elegir mal no cambia a quién se contacta, sólo qué restricciones llegan	SÍ	104 VALDIVIA FLUVIAL @1.3km  ·  207 VALDIVIA CONECTIVIDAD @3.18km	
27	241	Defensas en Desembocadura Norte Río Laraquete	Infraestructura Portuaria	Arauco	Arauco	costa	las 2 candidatas comparten capitanía (Coronel): elegir mal no cambia a quién se contacta, sólo qué restricciones llegan	SÍ	102 LOTA @10.48km  ·  100 BAHÍA CORONEL @17.14km	
28	554	Varadero de Pudeto	Infraestructura Portuaria	Ancud	Chiloé	costa	las 2 candidatas comparten capitanía (Ancud): elegir mal no cambia a quién se contacta, sólo qué restricciones llegan	SÍ	118 BAHÍA ANCUD Y CANAL CHACAO @3.01km  ·  214 BAHÍA ANCUD @3.01km	
29	592	Protección Faro Monumental de La Serena	Infraestructura Portuaria	La Serena	Elqui	costa	las 2 candidatas comparten capitanía (Coquimbo): elegir mal no cambia a quién se contacta, sólo qué restricciones llegan	SÍ	85 BAHÍA COQUIMBO @8.01km  ·  86 BAHÍA HERRADURA DE GUAYACÁN @9.95km	
30	627	Paseo Costero Playa Negra	Infraestructura Portuaria	Penco	Concepción	costa	las 3 candidatas comparten capitanía (Talcahuano): elegir mal no cambia a quién se contacta, sólo qué restricciones llegan	SÍ	97 BAHÍA CONCEPCIÓN - LIRQUÉN @3.8km  ·  98 BAHÍA CONCEPCIÓN - TALCAHUANO @10.3km  ·  99 BAHÍA SAN VICENTE @11.61km	
31	415	Embarcadero de Atraque de Pudeto	Embarcadero	Ancud	Chiloé	costa	las 2 candidatas comparten capitanía (Ancud): elegir mal no cambia a quién se contacta, sólo qué restricciones llegan	SÍ	118 BAHÍA ANCUD Y CANAL CHACAO @2.73km  ·  214 BAHÍA ANCUD @2.73km	
32	424	Embarcadero Muelle Río Chepu - Sector Anguay	Embarcadero	Ancud	Chiloé	costa	las 2 candidatas comparten capitanía (Ancud): elegir mal no cambia a quién se contacta, sólo qué restricciones llegan	SÍ	118 BAHÍA ANCUD Y CANAL CHACAO @23.48km  ·  214 BAHÍA ANCUD @23.48km	
33	425	Embarcadero Muelle Río Chepu - Sector Chepu Bajo	Embarcadero	Ancud	Chiloé	costa	las 2 candidatas comparten capitanía (Ancud): elegir mal no cambia a quién se contacta, sólo qué restricciones llegan	SÍ	118 BAHÍA ANCUD Y CANAL CHACAO @25.97km  ·  214 BAHÍA ANCUD @25.97km	
34	451	Embarcadero Puerto Gaviota	Embarcadero	Cisnes	Aysén	costa	las 2 candidatas comparten capitanía (Puerto Aguirre): elegir mal no cambia a quién se contacta, sólo qué restricciones llegan	SÍ	239 SECTOR CANAL FERRONAVE Y CANAL DEVIA @13.29km  ·  241 SECTOR CANAL GOÑI Y CANAL NINUALAC @19.83km	
35	288	Embarcadero Puerto Dominguez	Embarcadero	Saavedra	Cautín	costa	las 3 candidatas comparten capitanía (Carahue): elegir mal no cambia a quién se contacta, sólo qué restricciones llegan	SÍ	141 CARAHUE - SECTOR RÍO @21.57km  ·  143 CARAHUE - BORDE COSTERO @22.39km  ·  142 CARAHUE - SECTOR LAGO @25.94km	
36	408	Embarcadero Muelle Sector Poyo	Embarcadero	Chaitén	Palena	costa	las 3 candidatas comparten capitanía (Hornopirén): elegir mal no cambia a quién se contacta, sólo qué restricciones llegan	SÍ	186 SECTOR AYACARA @15.21km  ·  187 SECTOR BUILL @21.84km  ·  182 ESTERO COMAU @22.62km	
37	506	Embarcadero Muelle de Punucapa	Embarcadero	Valdivia	Valdivia	costa	las 3 candidatas comparten capitanía (Valdivia): elegir mal no cambia a quién se contacta, sólo qué restricciones llegan	SÍ	104 VALDIVIA FLUVIAL @6.32km  ·  208 BORDE COSTERO-VALDIVIA @10.5km  ·  207 VALDIVIA CONECTIVIDAD @10.55km	
38	276	Rampa Balseo Isla Llepu	Rampa	Saavedra	Cautín	costa	las 2 candidatas comparten capitanía (Carahue): elegir mal no cambia a quién se contacta, sólo qué restricciones llegan	SÍ	143 CARAHUE - BORDE COSTERO @15.46km  ·  141 CARAHUE - SECTOR RÍO @21.1km	
39	279	Rampa Balseo Puaucho Bajo	Rampa	Saavedra	Cautín	costa	las 2 candidatas comparten capitanía (Carahue): elegir mal no cambia a quién se contacta, sólo qué restricciones llegan	SÍ	143 CARAHUE - BORDE COSTERO @23.23km  ·  141 CARAHUE - SECTOR RÍO @27.53km	
40	283	Rampa Balseo Paso El Roble	Rampa	Saavedra	Cautín	costa	las 2 candidatas comparten capitanía (Carahue): elegir mal no cambia a quién se contacta, sólo qué restricciones llegan	SÍ	143 CARAHUE - BORDE COSTERO @11.74km  ·  141 CARAHUE - SECTOR RÍO @19.32km	
41	284	Rampa Balseo Collileufu	Rampa	Saavedra	Cautín	costa	las 2 candidatas comparten capitanía (Carahue): elegir mal no cambia a quién se contacta, sólo qué restricciones llegan	SÍ	143 CARAHUE - BORDE COSTERO @13.88km  ·  141 CARAHUE - SECTOR RÍO @23.03km	
42	621	Rampa Botadero Llifen	Rampa	Futrono	Ranco	costa	las 2 candidatas comparten capitanía (Lago Ranco): elegir mal no cambia a quién se contacta, sólo qué restricciones llegan	SÍ	144 LAGO RANCO @10.22km  ·  145 LAGO MAIHUE @16.18km	
43	275	Rampa Isla Nahuelhuapi	Rampa	Saavedra	Cautín	costa	las 3 candidatas comparten capitanía (Carahue): elegir mal no cambia a quién se contacta, sólo qué restricciones llegan	SÍ	143 CARAHUE - BORDE COSTERO @17.11km  ·  141 CARAHUE - SECTOR RÍO @18.83km  ·  142 CARAHUE - SECTOR LAGO @24.09km	
44	277	Rampa Balseo Santa María	Rampa	Saavedra	Cautín	costa	las 3 candidatas comparten capitanía (Carahue): elegir mal no cambia a quién se contacta, sólo qué restricciones llegan	SÍ	143 CARAHUE - BORDE COSTERO @18.59km  ·  141 CARAHUE - SECTOR RÍO @23.17km  ·  142 CARAHUE - SECTOR LAGO @28.35km	
45	278	Rampa Balseo Huapibudi (Portalon Chico)	Rampa	Saavedra	Cautín	costa	las 3 candidatas comparten capitanía (Carahue): elegir mal no cambia a quién se contacta, sólo qué restricciones llegan	SÍ	143 CARAHUE - BORDE COSTERO @16.24km  ·  141 CARAHUE - SECTOR RÍO @18.63km  ·  142 CARAHUE - SECTOR LAGO @24.04km	
46	280	Rampa Balseo Sol Naciente	Rampa	Saavedra	Cautín	costa	las 3 candidatas comparten capitanía (Carahue): elegir mal no cambia a quién se contacta, sólo qué restricciones llegan	SÍ	141 CARAHUE - SECTOR RÍO @15.96km  ·  143 CARAHUE - BORDE COSTERO @16.2km  ·  142 CARAHUE - SECTOR LAGO @21.39km	
47	281	Rampa Balseo Romopulli	Rampa	Saavedra	Cautín	costa	las 3 candidatas comparten capitanía (Carahue): elegir mal no cambia a quién se contacta, sólo qué restricciones llegan	SÍ	143 CARAHUE - BORDE COSTERO @13.89km  ·  141 CARAHUE - SECTOR RÍO @16.54km  ·  142 CARAHUE - SECTOR LAGO @22.32km	
48	282	Rampa Balseo Huenten	Rampa	Saavedra	Cautín	costa	las 3 candidatas comparten capitanía (Carahue): elegir mal no cambia a quién se contacta, sólo qué restricciones llegan	SÍ	143 CARAHUE - BORDE COSTERO @21.41km  ·  141 CARAHUE - SECTOR RÍO @24.44km  ·  142 CARAHUE - SECTOR LAGO @29.23km	
49	285	Rampa Balseo El Temo	Rampa	Saavedra	Cautín	costa	las 3 candidatas comparten capitanía (Carahue): elegir mal no cambia a quién se contacta, sólo qué restricciones llegan	SÍ	141 CARAHUE - SECTOR RÍO @12.41km  ·  142 CARAHUE - SECTOR LAGO @17.66km  ·  143 CARAHUE - BORDE COSTERO @17.77km	
50	286	Rampa Balseo Antiman	Rampa	Saavedra	Cautín	costa	las 3 candidatas comparten capitanía (Carahue): elegir mal no cambia a quién se contacta, sólo qué restricciones llegan	SÍ	141 CARAHUE - SECTOR RÍO @15.97km  ·  143 CARAHUE - BORDE COSTERO @18.23km  ·  142 CARAHUE - SECTOR LAGO @21km	
51	346	Rampa de Conectividad Pichanco	Rampa	Hualaihué	Palena	costa	las 4 candidatas comparten capitanía (Hornopirén): elegir mal no cambia a quién se contacta, sólo qué restricciones llegan	SÍ	187 SECTOR BUILL @2.22km  ·  186 SECTOR AYACARA @5.92km  ·  182 ESTERO COMAU @8.06km  ·  185 ENSENADA ROLECHA @9.95km	
52	77	Defensa Costera Sector Desembocadura Sur Marga-Marga	Defensa Costera	Viña del Mar	Valparaíso	costa	las 2 candidatas comparten capitanía (Valparaíso): elegir mal no cambia a quién se contacta, sólo qué restricciones llegan	SÍ	92 BAHÍA DE VALPARAÍSO @6.72km  ·  173 BAHÍA CONCÓN @11.97km	
53	82	Defensa Costera Sector La Marina	Defensa Costera	Viña del Mar	Valparaíso	costa	las 2 candidatas comparten capitanía (Valparaíso): elegir mal no cambia a quién se contacta, sólo qué restricciones llegan	SÍ	92 BAHÍA DE VALPARAÍSO @6.52km  ·  173 BAHÍA CONCÓN @12.08km	
54	107	Defensa Costera Sector Jardín del Mar	Defensa Costera	Viña del Mar	Valparaíso	costa	las 2 candidatas comparten capitanía (Valparaíso): elegir mal no cambia a quién se contacta, sólo qué restricciones llegan	SÍ	173 BAHÍA CONCÓN @6.61km  ·  92 BAHÍA DE VALPARAÍSO @10.5km	
55	108	Defensa Costera Sector Cochoa	Defensa Costera	Viña del Mar	Valparaíso	costa	las 2 candidatas comparten capitanía (Valparaíso): elegir mal no cambia a quién se contacta, sólo qué restricciones llegan	SÍ	173 BAHÍA CONCÓN @4.67km  ·  92 BAHÍA DE VALPARAÍSO @12.02km	
56	109	Defensa Costera Sector los Marineros	Defensa Costera	Viña del Mar	Valparaíso	costa	las 2 candidatas comparten capitanía (Valparaíso): elegir mal no cambia a quién se contacta, sólo qué restricciones llegan	SÍ	173 BAHÍA CONCÓN @8.61km  ·  92 BAHÍA DE VALPARAÍSO @9.19km	
57	355	Defensa Costera de Pudeto	Defensa Costera	Ancud	Chiloé	costa	las 2 candidatas comparten capitanía (Ancud): elegir mal no cambia a quién se contacta, sólo qué restricciones llegan	SÍ	118 BAHÍA ANCUD Y CANAL CHACAO @2.84km  ·  214 BAHÍA ANCUD @2.84km	
58	433	Borde Costero de Ancud	Defensa Costera	Ancud	Chiloé	costa	las 2 candidatas comparten capitanía (Ancud): elegir mal no cambia a quién se contacta, sólo qué restricciones llegan	SÍ	118 BAHÍA ANCUD Y CANAL CHACAO @0.18km  ·  214 BAHÍA ANCUD @0.18km	
59	612	Borde Costero Lacustre de Huequecura	Defensa Costera	Futrono	Ranco	costa	las 2 candidatas comparten capitanía (Lago Ranco): elegir mal no cambia a quién se contacta, sólo qué restricciones llegan	SÍ	144 LAGO RANCO @11.35km  ·  145 LAGO MAIHUE @16.25km	
60	192	Defensa Costera Coliumo Sur	Defensa Costera	Tomé	Concepción	costa	las 3 candidatas comparten capitanía (Talcahuano): elegir mal no cambia a quién se contacta, sólo qué restricciones llegan	SÍ	97 BAHÍA CONCEPCIÓN - LIRQUÉN @19.06km  ·  98 BAHÍA CONCEPCIÓN - TALCAHUANO @23.38km  ·  99 BAHÍA SAN VICENTE @25.85km	
61	202	Borde Costero Tome	Defensa Costera	Tomé	Concepción	costa	las 3 candidatas comparten capitanía (Talcahuano): elegir mal no cambia a quién se contacta, sólo qué restricciones llegan	SÍ	97 BAHÍA CONCEPCIÓN - LIRQUÉN @8.59km  ·  98 BAHÍA CONCEPCIÓN - TALCAHUANO @16.16km  ·  99 BAHÍA SAN VICENTE @18.58km	
62	225	Borde Costero de Dichato	Defensa Costera	Tomé	Concepción	costa	las 3 candidatas comparten capitanía (Talcahuano): elegir mal no cambia a quién se contacta, sólo qué restricciones llegan	SÍ	97 BAHÍA CONCEPCIÓN - LIRQUÉN @18.46km  ·  98 BAHÍA CONCEPCIÓN - TALCAHUANO @23.74km  ·  99 BAHÍA SAN VICENTE @26.23km	
63	243	Borde Costero Sector Bellavista de Tomé	Defensa Costera	Tomé	Concepción	costa	las 3 candidatas comparten capitanía (Talcahuano): elegir mal no cambia a quién se contacta, sólo qué restricciones llegan	SÍ	97 BAHÍA CONCEPCIÓN - LIRQUÉN @9.22km  ·  98 BAHÍA CONCEPCIÓN - TALCAHUANO @16.58km  ·  99 BAHÍA SAN VICENTE @19.01km	
64	773	Puerto de Tocopilla	puerto			costa	las 2 candidatas comparten capitanía (Antofagasta): elegir mal no cambia a quién se contacta, sólo qué restricciones llegan	no	74 BAHÍA ALGODONALES @2.19km  ·  236 CALETA VIUDA @4.39km	
65	64	Caleta Pesquera Puerto Aldea	Caleta	Coquimbo	Elqui	costa	las 2 candidatas comparten capitanía (Coquimbo): elegir mal no cambia a quién se contacta, sólo qué restricciones llegan	no	87 TONGOY @11.42km  ·  150 GUANAQUEROS @20.26km	
66	6	Caleta Pesquera Chanavayita	Caleta	Iquique	Iquique	costa	las 4 candidatas comparten capitanía (Iquique): elegir mal no cambia a quién se contacta, sólo qué restricciones llegan	no	195 PATILLO @5.61km  ·  196 BORDE COSTERO NORTE PATACHE @9.39km  ·  73 PATACHE @11.26km  ·  197 BORDE COSTERO SUR PATACHE @12.97km	
67	8	Caleta Pesquera Rio Seco	Caleta	Iquique	Iquique	costa	las 4 candidatas comparten capitanía (Iquique): elegir mal no cambia a quién se contacta, sólo qué restricciones llegan	no	197 BORDE COSTERO SUR PATACHE @20.89km  ·  73 PATACHE @22.77km  ·  196 BORDE COSTERO NORTE PATACHE @24.49km  ·  195 PATILLO @27.95km	
68	11	Caleta Pesquera Caramucho	Caleta	Iquique	Iquique	costa	las 4 candidatas comparten capitanía (Iquique): elegir mal no cambia a quién se contacta, sólo qué restricciones llegan	no	195 PATILLO @10.27km  ·  196 BORDE COSTERO NORTE PATACHE @14.08km  ·  73 PATACHE @15.96km  ·  197 BORDE COSTERO SUR PATACHE @17.7km	
69	36	Playa Artificial El Salitre	Infraestructura Portuaria	Tocopilla	Tocopilla	costa	las 2 candidatas comparten capitanía (Antofagasta): elegir mal no cambia a quién se contacta, sólo qué restricciones llegan	no	74 BAHÍA ALGODONALES @2.3km  ·  236 CALETA VIUDA @4.51km	
70	153	Embarcadero Rampa de Conectividad Puerto Fuy	Embarcadero	Panguipulli	Valdivia	costa	las 2 candidatas comparten capitanía (Villarrica): elegir mal no cambia a quién se contacta, sólo qué restricciones llegan	no	250 LAGO PIREHUICO @9.05km  ·  249 LAGO NELTUME @10.39km	
71	545	Borde Costero Sector Playa El Salitre	Defensa Costera	Tocopilla	Tocopilla	costa	las 2 candidatas comparten capitanía (Antofagasta): elegir mal no cambia a quién se contacta, sólo qué restricciones llegan	no	74 BAHÍA ALGODONALES @2.29km  ·  236 CALETA VIUDA @4.56km	
72	300	Borde Costero Sector Playa Grande de Licanray - Lago Calafquen	Defensa Costera	Villarrica	Cautín	costa	las 3 candidatas comparten capitanía (Villarrica): elegir mal no cambia a quién se contacta, sólo qué restricciones llegan	no	247 LAGO CALAFQUEN @6.47km  ·  246 LAGO PULLINQUE @12.01km  ·  245 LAGO PELLAIFA @16.35km	
73	605	Borde Costero de Chanavayita	Defensa Costera	Iquique	Iquique	costa	las 4 candidatas comparten capitanía (Iquique): elegir mal no cambia a quién se contacta, sólo qué restricciones llegan	no	195 PATILLO @5.44km  ·  196 BORDE COSTERO NORTE PATACHE @9.22km  ·  73 PATACHE @11.09km  ·  197 BORDE COSTERO SUR PATACHE @12.79km	
74	666	Borde Costero Norte Patache	Defensa Costera			costa	las 4 candidatas comparten capitanía (Iquique): elegir mal no cambia a quién se contacta, sólo qué restricciones llegan	no	195 PATILLO @8.8km  ·  196 BORDE COSTERO NORTE PATACHE @9.02km  ·  73 PATACHE @9.62km  ·  197 BORDE COSTERO SUR PATACHE @9.89km	
